iter	RMSE
0	0.9023208116
1	0.8952473575
2	0.8839095237
3	0.8711771677
4	0.8613353897
5	0.8540225553
6	0.8459315822
7	0.8394079056
8	0.8301882563
9	0.8190382225
10	0.8146752084
11	0.8070032504
12	0.7981055193
13	0.7871617302
14	0.7838447567
15	0.7791658435
16	0.7704691481
17	0.7612692577
18	0.7567737119
19	0.7537635076
20	0.7492529106
21	0.7433593906
22	0.7396471665
23	0.7357521666
24	0.7327020139
25	0.7294145662
26	0.7244024506
27	0.7212672872
28	0.7188564052
29	0.7120354193
30	0.7092846541
31	0.7060829792
32	0.6991206023
33	0.6941012347
34	0.6910569036
35	0.6877439567
36	0.6805835378
37	0.6774697166
38	0.6739512406
39	0.6703827836
40	0.6671933296
41	0.6618528639
42	0.6606838009
43	0.6552705176
44	0.651897936
45	0.647308326
46	0.6459855432
47	0.6436394808
48	0.6388995452
49	0.6350645082
50	0.6335856853
51	0.628685127
52	0.6271767587
53	0.6258565373
54	0.6240691254
55	0.622831987
56	0.6208812142
57	0.6197755677
58	0.6165427075
59	0.6133601813
60	0.612127484
61	0.6102345941
62	0.6085702939
63	0.6072448438
64	0.6056764669
65	0.6043313136
66	0.6030331326
67	0.6017380773
68	0.5991255896
69	0.5941001945
70	0.5928458378
71	0.5917877712
72	0.5895811732
73	0.5885109491
74	0.5874928769
75	0.5868452262
76	0.5861393249
77	0.5853959449
78	0.5825529666
79	0.5815722515
80	0.5775429293
81	0.5765801785
82	0.5742522903
83	0.5733080866
84	0.5710370036
85	0.5701104479
86	0.5694681408
87	0.5676611799
88	0.5667563102
89	0.5641198593
90	0.5615860493
91	0.559049512
92	0.5581692256
93	0.5573014649
94	0.5556263066
95	0.5531927454
96	0.5523416103
97	0.5499731295
98	0.5483845042
99	0.5468224872
100	0.5443821316
101	0.5406388569
102	0.5383269031
103	0.5361106871
104	0.5339839959
105	0.5304183976
106	0.528393616
107	0.5264460665
108	0.5245710093
109	0.5211613061
110	0.5176572694
111	0.5158890132
112	0.514182718
113	0.5109218704
114	0.5076317241
115	0.506015408
116	0.5044526793
117	0.5018838471
118	0.4988509653
119	0.4957217557
120	0.4945042363
121	0.4916388938
122	0.4885997171
123	0.4874226221
124	0.4844737562
125	0.4817636075
126	0.4806250176
127	0.4800487695
128	0.4794827507
129	0.4789263234
130	0.4783789294
131	0.4778400793
132	0.4773093429
133	0.4767863412
134	0.4765016486
135	0.4759883982
136	0.4757088606
137	0.4754321711
138	0.4751582985
139	0.4748872123
140	0.4743901242
141	0.4739445481
142	0.4735062648
143	0.4730747952
144	0.4728355194
145	0.4725986943
146	0.4723642928
147	0.4721322888
148	0.4719026565
149	0.4716753709
150	0.4714504073
151	0.4678274834
152	0.4662374577
153	0.464666664
154	0.4631147857
155	0.461581522
156	0.460066586
157	0.4566524858
158	0.4551628072
159	0.454720082
160	0.4543255738
161	0.4541166015
162	0.4539097664
163	0.4537050468
164	0.4522334317
165	0.4518506785
166	0.4514804611
167	0.4512870525
168	0.4510956208
169	0.4509061464
170	0.4507186102
171	0.4505329931
172	0.4503492761
173	0.448896126
174	0.4487146266
175	0.4472789447
176	0.4458601544
177	0.445507721
178	0.4453306376
179	0.4451545349
180	0.4449793527
181	0.4448051555
182	0.4431113544
183	0.4417051344
184	0.4403153564
185	0.4389418058
186	0.4386007383
187	0.4384312591
188	0.43826278
189	0.4380952619
190	0.4379287306
191	0.4377631474
192	0.437598538
193	0.4362418084
194	0.4360783438
195	0.4359158348
196	0.4345752667
197	0.4342530017
198	0.4340933607
199	0.4339346567
200	0.4337768471
201	0.4336199621
202	0.4320868023
203	0.4307577151
204	0.4294440106
205	0.4291328939
206	0.4288249193
207	0.4284616448
208	0.4281027536
209	0.4277481842
210	0.4273978765
211	0.4270517722
212	0.4267098145
213	0.4263719479
214	0.4260381182
215	0.4257082723
216	0.4253823581
217	0.4250603249
218	0.4247421225
219	0.4218603286
220	0.4215427209
221	0.4212288929
222	0.4209187956
223	0.4204497047
224	0.4199668643
225	0.4194895307
226	0.4190172666
227	0.4185503345
228	0.4180883075
229	0.417631449
230	0.4171793415
231	0.4167322488
232	0.4162897621
233	0.4158521451
234	0.4154189969
235	0.4149905809
236	0.4145665035
237	0.4141470275
238	0.413734584
239	0.4133266021
240	0.4129227306
241	0.411881859
242	0.411636423
243	0.4112394738
244	0.4102123188
245	0.4099701572
246	0.4095797407
247	0.4085657643
248	0.4083267947
249	0.4080902489
250	0.4077074465
251	0.4067059523
252	0.4064724919
253	0.4062414024
254	0.405250474
255	0.4048299224
256	0.404414917
257	0.4040468203
258	0.403820294
259	0.403414448
260	0.4030135943
261	0.4026177781
262	0.4022635974
263	0.4020426516
264	0.4018239561
265	0.4016074868
266	0.4006409683
267	0.4002947944
268	0.4000810522
269	0.3991260043
270	0.3987859148
271	0.3985748364
272	0.3976309405
273	0.3950574864
274	0.3947248117
275	0.3945145436
276	0.3943064376
277	0.3941004686
278	0.3931665387
279	0.3928418547
280	0.3926384305
281	0.3917150801
282	0.3915133687
283	0.3905988742
284	0.390398848
285	0.3902009022
286	0.3892946831
287	0.3889813556
288	0.3887858342
289	0.3878896159
290	0.387695716
291	0.3868079057
292	0.3866156094
293	0.3863103687
294	0.385432229
295	0.3845626867
296	0.3843723088
297	0.3824276909
298	0.3822377112
299	0.3820497698
300	0.381752033
301	0.3808901941
302	0.3800367049
303	0.3798506478
304	0.3790049539
305	0.3788204465
306	0.3786379248
307	0.3777994902
308	0.3776184874
309	0.3767876827
310	0.376608189
311	0.3757849317
312	0.3756069372
313	0.3747911485
314	0.3746146434
315	0.3738062481
316	0.3736312224
317	0.3728301478
318	0.3726565915
319	0.3718627675
320	0.3716906703
321	0.3709040291
322	0.3707333807
323	0.3699538559
324	0.3697846459
325	0.3690121732
326	0.3688443909
327	0.3680789074
328	0.3679125421
329	0.367153986
330	0.36640269
331	0.3662373385
332	0.3654928405
333	0.3653288953
334	0.3645911375
335	0.3644285871
336	0.3620798339
337	0.3619225962
338	0.3611959699
339	0.3610400931
340	0.3603200183
341	0.359606801
342	0.3594519093
343	0.3587451309
344	0.3580450921
345	0.3578911844
346	0.3571974745
347	0.3565103884
348	0.3563574648
349	0.3556765997
350	0.3555249987
351	0.3533506021
352	0.3532039771
353	0.3525328695
354	0.3518681849
355	0.3516964975
356	0.3510378179
357	0.3489324951
358	0.3487870982
359	0.3481320539
360	0.3474832809
361	0.3473138921
362	0.3466709764
363	0.3449337783
364	0.3444456384
365	0.3442771689
366	0.3441104134
367	0.3426995287
368	0.3407569159
369	0.3397852332
370	0.3396410909
371	0.3394984338
372	0.3393572464
373	0.3391960179
374	0.3390568506
375	0.3385993286
376	0.3384413767
377	0.3383041279
378	0.3378572534
379	0.3377212902
380	0.3372833109
381	0.3371485761
382	0.3367192274
383	0.3365856725
