ロード量,salt_LiTFSI,salt_LiFSI,salt_LiPF6,salt_LiDFOB,sol_FEC,sol_DME,sol_ClEC,sol_SL,sol_EC,sol_D2,sol_D11,sol_EME,sol_FME,sol_EMC,sol_DMC,sol_DEC,sol_HFE,additive_lifsi,additive_vc,additive_fec,additive_mlidfob,additive_cm5m,act_h2o2msc,act_lr23,act_msc_30ss,act_msc_benzene,act_一次resin,act_二次resin,act_急冷msc,add_ab_hs_100_,add_ab_li435_,add_ab_li435_hemin,add_cnt,add_tib,bind_cmc,bind_paa_li東亞,bind_paa_ppt,bind_sbr,bind_ポリアクリル酸_paa_,bind_ポリグルタミン酸_ppt_
-0.047661975,0.020598115,-0.21282522,0.002182006,0.009303077,0.30231807,0.14829324,-0.071716435,0.0022919998,0.0019086697,0.033268843,-0.0034637838,0.00012552971,-0.00049873407,2.9862278e-07,0.0003472355,-2.561764e-06,-5.1063694e-06,0.015322705,0.0035205309,0.024130134,4.5606703e-06,0.0010701228,-0.015375765,0.0,0.035474587,0.017153846,0.011914948,0.008542983,-0.0028792105,-0.07075784,0.010464094,-0.0007470103,0.00013074544,3.4710494e-05,-0.0754391,-0.0065072314,-0.01843864,-0.00062638114,0.00015841716,0.028108234
-0.07355023,0.020094557,-0.21315005,0.0021871456,0.009230235,0.3010417,0.14631103,-0.071647935,0.002238317,0.0019086697,0.021674564,-0.0038523749,0.00012552971,-0.00055103697,2.9862278e-07,0.0003472355,-2.561764e-06,-5.1063694e-06,-0.0029562777,-0.029160082,0.024094151,4.3836903e-06,0.0010760643,-0.01621018,0.0,0.025912149,0.017153846,0.01191309,0.008426899,-0.0029514655,-0.07039529,0.010348575,-0.0007641337,0.00013074544,3.4710494e-05,-0.09294746,-0.006559793,-0.018594768,-0.00062638114,0.00015841716,0.02829836
-0.33934456,0.020502195,-0.052449126,0.002104368,0.03579286,0.30238447,0.14137521,-0.066535495,0.0018451893,0.0014067483,0.0020107403,-0.003219547,0.00012844369,-0.0005197644,2.202103e-07,0.0003545525,-2.5462468e-06,-8.8053e-06,0.0018809694,0.0004386298,0.019884452,2.0039802e-06,0.0011734237,-0.014131795,0.0,0.011544809,0.016777862,0.0117082335,0.00809678,-0.0026795329,-0.03657039,0.011166361,-0.0007164349,6.565037e-05,3.4710494e-05,0.03210409,-0.005997861,-0.017816491,1.8405912e-05,0.06473338,0.035579797
-0.4514799,0.019894328,-0.064937845,0.0018157141,0.035810865,0.29168066,0.13455203,-0.06660861,0.0015919984,0.0014067483,0.0069977525,-0.0032517698,0.00012552971,-0.00053751044,2.202103e-07,0.00035074292,-2.5462468e-06,-5.1063694e-06,0.0029245047,0.00096289994,0.019686209,9.59215e-06,0.001061615,-0.014086019,0.0,0.015896173,0.01613215,0.011614093,0.0074826735,-0.0029390384,-0.044457242,0.004300862,-0.00071436976,6.565037e-05,3.4710494e-05,-0.095561765,-0.006020893,-0.019819219,-0.00029474136,-0.030151619,0.034293
-0.32732767,0.016407985,-0.049775213,0.0020303375,0.03579286,0.3189415,0.14831868,-0.06581086,0.002147644,0.0014069608,0.0038850796,-0.003219547,0.00012844369,-0.00052512094,2.9862278e-07,0.0003545525,-2.561764e-06,-8.8053e-06,0.002179466,0.0005483541,0.019975241,1.6719031e-06,0.0012083094,-0.014379366,0.0,0.01298232,0.01744864,0.0118473545,0.008485052,-0.0027184363,-0.046972528,0.005202911,-0.00088324497,6.565037e-05,3.4710494e-05,0.023812577,-0.005998515,-0.017899478,1.4740566e-05,0.0084008835,0.034444876
-0.24025859,0.020748701,-0.049549166,0.0022247476,0.03579286,0.31714103,0.14824653,-0.06621872,0.0022851087,0.0014070653,0.0017080718,-0.003219547,0.00012844369,-0.0005184167,3.8136344e-07,0.0003545525,-2.5462468e-06,-8.8053e-06,0.0020641645,0.0005512976,0.020016314,1.6985886e-06,0.0011691219,-0.014131795,0.0,0.012709591,0.017242042,0.01183663,0.008681228,-0.0026748613,-0.046785194,0.008951092,-0.0007164349,6.565037e-05,3.4710494e-05,0.024210857,-0.005997861,-0.017841725,1.3167667e-05,-0.009512521,0.034863584
-0.20634525,0.020750808,-0.049549166,0.002257238,0.03579286,0.31841993,0.14829493,-0.066208355,0.0023142898,0.0014079423,0.0019687826,-0.003219547,0.00012844369,-0.0005174631,8.270125e-07,0.0003545525,-2.5462468e-06,-8.8053e-06,0.002179466,0.00055767014,0.020016314,2.4974427e-06,0.0011788232,-0.014131795,0.0,0.012729289,0.017242042,0.01183663,0.008758719,-0.0026731428,-0.04588217,0.00899907,-0.0007164349,6.565037e-05,3.4710494e-05,0.024482548,-0.005997861,-0.017841725,1.3167667e-05,-0.002261335,0.034863584
-0.3004865,0.020656744,-0.04989446,0.0020999154,0.03578023,0.35652936,0.15497288,-0.08011476,0.0023242421,0.0014069608,0.002399726,-0.0033317707,0.0001338306,-0.00053390174,1.5148693e-06,0.00037890914,-2.5462468e-06,-8.8053e-06,0.002216953,0.0005556534,0.01919462,1.6142578e-06,0.0011852969,-0.007931987,0.0,0.014658805,0.016216911,0.010217621,0.008583985,-0.002632324,-0.045957778,0.01164438,-0.0026905453,6.565037e-05,3.4710494e-05,0.023226984,-0.0058281766,-0.019860748,1.7649407e-05,0.00016168675,-0.057855174
-0.20341879,0.01561409,-0.10423314,0.0020394016,0.035273023,-0.109813735,0.04278631,-0.15795389,0.0022881231,0.0014072388,-0.0073092612,-0.003612876,0.00013041771,-0.00051058613,1.6562702e-06,0.00036010306,-2.5462468e-06,-8.8053e-06,-0.00018489883,0.00015054131,0.017309992,2.0620146e-06,0.0010264349,-0.0059051393,0.0,0.0011002274,0.01563634,0.0078922445,0.009301971,-0.003029919,-0.03555748,0.033956353,-0.0032325478,6.565037e-05,3.4710494e-05,0.013790791,-0.006176895,-0.048726153,3.739495e-05,0.01947519,-0.07985877
-0.2692219,0.020565277,-0.049650457,0.002197111,0.03579286,0.3135807,0.14689676,-0.066220194,0.0022576242,0.0014067483,-0.0010669944,-0.003219547,0.00012844369,-0.0005197644,2.202103e-07,0.0003545525,-2.5462468e-06,-8.8053e-06,0.0018809694,0.0004411252,0.020016314,1.0057638e-06,0.0011673988,-0.014131795,0.0,0.011822224,0.017242042,0.01183663,0.008626621,-0.0026814109,-0.046010338,0.0090463795,-0.0007164349,6.565037e-05,3.4710494e-05,0.026650319,-0.005997861,-0.017885363,1.8405912e-05,-0.010199307,0.03484026
